Unnamed: 0,-10.0,36.0,311.0,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,time,x,y,z
1742355453.6141331,-66.0,10.0,277.0,,,,,,,,
1742355453.6501331,-2.0,2.0,206.0,,,,,,,,
1742355453.6861331,-8.0,102.0,364.0,,,,,,,,
1742355453.7221332,-56.0,10.0,170.0,,,,,,,,
1742355453.7581332,69.0,16.0,196.0,,,,,,,,
1742355453.7941332,-4.0,-47.0,282.0,,,,,,,,
1742355453.8301332,-2.0,4.0,350.0,,,,,,,,
1742355453.866133,-6.0,-69.0,234.0,,,,,,,,
1742355453.902133,-68.0,-19.0,296.0,,,,,,,,
1742355453.938133,-76.0,-39.0,328.0,,,,,,,,
1742355453.974133,-18.0,42.0,282.0,,,,,,,,
1742355454.009133,25.0,-5.0,234.0,,,,,,,,
1742355454.0441332,-14.0,6.0,208.0,,,,,,,,
1742355454.0801332,-18.0,-49.0,214.0,,,,,,,,
1742355454.116133,65.0,6.0,188.0,,,,,,,,
1742355454.151133,33.0,34.0,212.0,,,,,,,,
1742355454.187133,5.0,-29.0,114.0,,,,,,,,
1742355454.2221332,-63.0,-64.0,198.0,,,,,,,,
1742355454.257133,-32.0,-29.0,288.0,,,,,,,,
1742355454.292133,49.0,-17.0,206.0,,,,,,,,
1742355454.328133,-128.0,-11.0,226.0,,,,,,,,
1742355454.3641331,-20.0,6.0,280.0,,,,,,,,
1742355454.399133,-44.0,-9.0,242.0,,,,,,,,
1742355454.435133,-2.0,-25.0,268.0,,,,,,,,
1742355454.470133,-14.0,-51.0,290.0,,,,,,,,
1742355454.5051332,45.0,-5.0,224.0,,,,,,,,
1742355454.540133,-34.0,-40.0,388.0,,,,,,,,
1742355454.576133,-12.0,7.0,354.0,,,,,,,,
1742355454.612133,-18.0,-60.0,146.0,,,,,,,,
1742355454.647133,21.0,87.0,272.0,,,,,,,,
1742355454.6831331,-42.0,63.0,238.0,,,,,,,,
1742355454.718133,17.0,-4.0,292.0,,,,,,,,
1742355454.753133,3.0,-16.0,340.0,,,,,,,,
1742355454.7881331,-22.0,-42.0,348.0,,,,,,,,
1742355454.8241332,-40.0,-42.0,258.0,,,,,,,,
1742355454.8601332,75.0,33.0,312.0,,,,,,,,
1742355454.895133,-2.0,18.0,186.0,,,,,,,,
1742355454.931133,-8.0,79.0,192.0,,,,,,,,
1742355454.966133,7.0,17.0,252.0,,,,,,,,
1742355455.001133,-42.0,7.0,274.0,,,,,,,,
1742355455.036133,23.0,23.0,340.0,,,,,,,,
1742355455.072133,7.0,57.0,412.0,,,,,,,,
