time,x,y,z
1775167200.0060384,2.0,4.0,13.0
1775167200.0160384,0.0,0.0,16.0
1775167200.0260384,-2.0,-1.0,8.0
1775167200.0360384,-2.0,3.0,6.0
1775167200.0460384,0.0,1.0,4.0
1775167200.0560384,-2.0,0.0,5.0
1775167200.0660384,3.0,1.0,2.0
1775167200.0760384,5.0,0.0,7.0
1775167200.0860384,4.0,-3.0,2.0
1775167200.0960383,4.0,1.0,-1.0
1775167200.1060383,8.0,-2.0,0.0
1775167200.1160383,5.0,0.0,6.0
1775167200.1260383,4.0,0.0,9.0
1775167200.1360383,2.0,2.0,9.0
1775167200.1460383,2.0,3.0,10.0
1775167200.1560383,2.0,3.0,7.0
1775167200.1660385,3.0,0.0,6.0
1775167200.1760385,1.0,4.0,7.0
1775167200.1860385,0.0,3.0,3.0
1775167200.1960385,0.0,3.0,2.0
1775167200.2060385,0.0,-1.0,-4.0
1775167200.2160385,0.0,3.0,-5.0
1775167200.2260385,-1.0,4.0,-5.0
1775167200.2360384,-4.0,-2.0,-8.0
1775167200.2460384,-3.0,-5.0,-5.0
1775167200.2560384,-1.0,-3.0,-2.0
1775167200.2660384,3.0,-2.0,-4.0
1775167200.2760384,4.0,-1.0,-4.0
1775167200.2860384,7.0,1.0,-1.0
1775167200.2960384,7.0,0.0,4.0
1775167200.3060384,8.0,-3.0,3.0
1775167200.3160384,9.0,-4.0,4.0
1775167200.3260384,7.0,-2.0,1.0
1775167200.3360384,1.0,-7.0,4.0
1775167200.3460383,3.0,-7.0,1.0
1775167200.3560383,2.0,-5.0,5.0
1775167200.3660383,3.0,-6.0,4.0
1775167200.3760383,6.0,-2.0,1.0
1775167200.3860383,6.0,0.0,0.0
1775167200.3960383,6.0,-1.0,-1.0
1775167200.4060383,4.0,0.0,5.0
1775167200.4160385,4.0,1.0,7.0
1775167200.4260385,3.0,3.0,1.0
1775167200.4360385,1.0,0.0,5.0
1775167200.4460385,0.0,0.0,3.0
1775167200.4560385,0.0,3.0,3.0
1775167200.4660385,1.0,3.0,0.0
1775167200.4760385,3.0,1.0,3.0
1775167200.4860384,1.0,1.0,2.0
1775167200.4960384,2.0,0.0,5.0
1775167200.5060384,2.0,2.0,7.0
1775167200.5160384,3.0,7.0,6.0
1775167200.5260384,-3.0,6.0,6.0
1775167200.5360384,-4.0,1.0,4.0
1775167200.5460384,-1.0,1.0,9.0
1775167200.5560384,2.0,0.0,7.0
1775167200.5660384,4.0,-3.0,5.0
1775167200.5760384,6.0,0.0,7.0
1775167200.5860384,5.0,0.0,11.0
1775167200.5960383,7.0,-1.0,9.0
1775167200.6060383,3.0,-1.0,5.0
1775167200.6160383,2.0,0.0,4.0
1775167200.6260383,0.0,1.0,7.0
1775167200.6360383,-2.0,4.0,6.0
1775167200.6460383,-5.0,5.0,-1.0
1775167200.6560383,-5.0,6.0,-3.0
1775167200.6660385,-5.0,5.0,5.0
1775167200.6760385,-3.0,0.0,6.0
1775167200.6860385,-6.0,1.0,5.0
1775167200.6960385,-7.0,2.0,8.0
1775167200.7060385,-4.0,-1.0,9.0
1775167200.7160385,-4.0,-4.0,7.0
1775167200.7260385,-2.0,-4.0,8.0
1775167200.7360384,-3.0,-2.0,5.0
1775167200.7460384,-1.0,-6.0,8.0
1775167200.7560384,-2.0,-6.0,2.0
1775167200.7660384,0.0,-12.0,-4.0
1775167200.7760384,-2.0,-12.0,-1.0
1775167200.7860384,-3.0,-13.0,4.0
1775167200.7960384,-1.0,-13.0,3.0
1775167200.8060384,1.0,-7.0,2.0
1775167200.8160384,0.0,-4.0,-4.0
1775167200.8260384,-1.0,-6.0,-4.0
1775167200.8360384,-3.0,-5.0,-4.0
1775167200.8460383,-1.0,0.0,-6.0
1775167200.8560383,1.0,1.0,-12.0
1775167200.8660383,2.0,0.0,-11.0
1775167200.8760383,2.0,-1.0,-11.0
1775167200.8860383,0.0,-1.0,-3.0
1775167200.8960383,0.0,-1.0,0.0
1775167200.9060383,0.0,0.0,-1.0
