time,x,y,z
1767747600.005864,4,2,-6
1767747600.015864,0,1,-7
1767747600.025864,0,1,-4
1767747600.035864,3,0,-3
1767747600.045864,0,1,-10
1767747600.055864,-1,0,-14
1767747600.065864,-1,3,-16
1767747600.075864,0,3,-19
1767747600.085864,0,0,-19
1767747600.095864,-9,4,-17
1767747600.105864,-7,3,-15
1767747600.115864,-8,0,-16
1767747600.1258645,-7,1,-19
1767747600.1358645,-8,-1,-23
1767747600.1458642,-8,-1,-26
1767747600.1558642,-7,-2,-24
1767747600.1658642,-8,-2,-26
1767747600.1758642,-4,-1,-24
1767747600.1858642,0,-1,-15
1767747600.1958642,3,-3,-14
1767747600.2058642,0,0,-12
1767747600.2158642,-2,0,-9
1767747600.2258642,-8,0,-7
1767747600.2358642,-10,-1,-6
1767747600.2458642,-7,-2,-12
1767747600.255864,-9,-2,-16
1767747600.265864,-11,-1,-18
1767747600.275864,-8,0,-20
1767747600.285864,-5,0,-15
1767747600.295864,0,2,-14
1767747600.305864,7,1,-9
1767747600.315864,7,4,-5
1767747600.325864,7,3,-12
1767747600.335864,4,3,-13
1767747600.345864,2,2,-19
1767747600.355864,0,3,-11
1767747600.365864,-1,0,-4
1767747600.3758645,0,-4,-9
1767747600.3858645,-1,-1,-15
1767747600.3958642,-1,-2,-19
1767747600.4058642,-1,-5,-23
1767747600.4158642,-4,-1,-22
1767747600.4258642,-6,-1,-14
1767747600.4358642,-5,-2,-8
1767747600.4458642,-7,-2,-9
1767747600.4558642,-13,-1,-12
1767747600.4658642,-13,1,-11
1767747600.4758642,-12,4,-13
1767747600.4858642,-13,6,-9
1767747600.4958642,-9,3,-9
1767747600.505864,-7,-1,-11
1767747600.515864,-8,-2,-6
1767747600.525864,-9,-3,-10
1767747600.535864,-9,-8,-12
1767747600.545864,-7,-10,-7
1767747600.555864,-5,-11,-3
1767747600.565864,-7,-9,-4
1767747600.575864,-4,-7,-6
1767747600.585864,-2,-5,-10
1767747600.595864,0,-5,-13
1767747600.605864,0,-4,-15
1767747600.615864,2,-1,-10
1767747600.6258645,2,-1,-13
1767747600.6358645,0,-2,-13
1767747600.6458642,-1,-1,-13
1767747600.6558642,0,0,-9
1767747600.6658642,-3,0,-10
1767747600.6758642,-4,3,-14
1767747600.6858642,-2,3,-11
1767747600.6958642,0,2,-13
1767747600.7058642,0,1,-11
1767747600.7158642,2,0,-12
1767747600.7258642,-1,-3,-19
1767747600.7358642,0,-1,-19
1767747600.7458642,0,-2,-18
1767747600.755864,0,-5,-9
1767747600.765864,4,-4,-11
1767747600.775864,2,-2,-14
1767747600.785864,7,-2,-15
1767747600.795864,4,0,-14
1767747600.805864,3,-1,-14
1767747600.815864,0,1,-18
1767747600.825864,1,2,-20
1767747600.835864,2,4,-17
1767747600.845864,0,9,-11
1767747600.855864,3,6,-14
1767747600.865864,1,5,-21
1767747600.8758645,1,2,-20
1767747600.8858645,2,0,-18
1767747600.8958642,3,0,-20
1767747600.9058642,7,-4,-22
1767747600.9158642,3,-4,-23
1767747600.9258642,1,-7,-23
1767747600.9358642,4,-2,-22
1767747600.9458642,3,-3,-13
1767747600.9558642,2,-1,-13
1767747600.9658642,-1,1,-15
1767747600.9758642,-3,0,-14
1767747600.9858642,-2,0,-14
1767747600.9958642,0,0,-8
1767747601.005864,0,0,-8
1767747601.015864,3,-2,-12
1767747601.025864,2,-2,-7
1767747601.035864,0,-3,-5
1767747601.045864,4,1,-8
1767747601.055864,3,6,-9
1767747601.065864,5,6,-16
1767747601.075864,0,7,-20
1767747601.085864,0,7,-16
1767747601.095864,1,4,-17
1767747601.105864,0,2,-20
1767747601.115864,-3,1,-27
1767747601.1258645,-5,0,-21
1767747601.1358645,-9,4,-19
1767747601.1458642,-5,-1,-14
1767747601.1558642,-4,-4,-15
1767747601.1658642,-1,-1,-19
1767747601.1758642,3,0,-15
1767747601.1858642,0,1,-16
1767747601.1958642,1,3,-19
1767747601.2058642,3,5,-22
1767747601.2158642,0,-1,-18
1767747601.2258642,-4,-2,-27
1767747601.2358642,-2,-8,-30
1767747601.2458642,0,-2,-32
1767747601.255864,3,0,-28
1767747601.265864,4,0,-20
1767747601.275864,3,-3,-13
1767747601.285864,2,-2,-15
1767747601.295864,2,-2,-18
1767747601.305864,-1,-4,-15
1767747601.315864,-3,-3,-21
1767747601.325864,-2,0,-20
1767747601.335864,-3,3,-14
1767747601.345864,-7,0,-5
1767747601.355864,-5,-2,-5
1767747601.365864,-3,-3,-4
1767747601.3758645,-5,-1,-8
1767747601.3858645,-4,-4,-10
1767747601.3958642,-1,0,-4
1767747601.4058642,-3,1,-7
1767747601.4158642,-1,1,-9
1767747601.4258642,1,3,-14
1767747601.4358642,-3,2,-6
1767747601.4458642,-5,3,-9
1767747601.4558642,-5,1,-5
1767747601.4658642,-9,0,-10
1767747601.4758642,-6,-5,-15
1767747601.4858642,-6,-4,-17
1767747601.4958642,-6,-2,-21
1767747601.505864,-5,0,-20
1767747601.515864,-6,-2,-18
1767747601.525864,-2,-4,-14
1767747601.535864,0,-2,-20
1767747601.545864,-1,-1,-21
1767747601.555864,-2,2,-14
1767747601.565864,-5,3,-19
1767747601.575864,-3,2,-22
1767747601.585864,-4,0,-18
1767747601.595864,-2,-1,-17
1767747601.605864,4,-1,-15
1767747601.615864,5,3,-11
1767747601.6258645,0,4,-8
1767747601.6358645,0,7,-9
