time,x,y,z
1747832400.0063634,-18,-9,97
1747832400.0413637,-10,16,-58
1747832400.076363,-62,64,-114
1747832400.1113634,1,-1,-82
1747832400.1473634,-20,52,-90
1747832400.1833634,-20,12,-2
1747832400.2183633,33,-29,-137
1747832400.2543633,11,17,-38
1747832400.2893634,17,-3,-83
1747832400.3243637,12,34,-43
1747832400.3593633,61,8,-7
1747832400.395363,-68,45,38
1747832400.431363,-36,-24,-67
1747832400.4663634,-31,-65,18
1747832400.5023634,0,-5,-83
1747832400.5373633,-68,43,-35
1747832400.5723634,53,-15,30
1747832400.6073637,15,-4,-29
1747832400.6433637,9,-31,-133
1747832400.6793633,-31,-25,-23
1747832400.714363,-2,-77,18
1747832400.750363,19,-9,-49
1747832400.7853634,-30,62,-37
1747832400.8203633,72,-30,-49
1747832400.8553634,12,-20,-109
1747832400.8913634,-47,11,25
1747832400.9273634,1,-58,8
1747832400.9623632,-76,33,53
1747832400.9983633,-7,-2,-57
1747832401.033363,-76,-21,26
1747832401.0683634,-28,-1,-109
1747832401.1043634,-80,-33,-15
1747832401.1393633,73,24,-103
1747832401.1753633,85,38,16
1747832401.2103634,25,-31,-11
1747832401.2463634,-8,-71,68
1747832401.2813632,-18,-29,-111
1747832401.316363,19,-69,-117
1747832401.352363,61,2,-9
1747832401.3873634,22,-33,-145
1747832401.4233634,74,28,-171
1747832401.4583633,-21,-3,-37
1747832401.4943633,6,10,22
1747832401.5293634,-23,40,0
1747832401.5643632,-46,33,-60
1747832401.6003633,6,22,-42
1747832401.635363,-42,31,-56
1747832401.6713634,7,-62,-60
1747832401.7063634,23,41,-2
1747832401.7423637,-9,-17,-98
1747832401.7773633,1,-54,25
1747832401.8123634,-123,16,67
1747832401.8483634,10,12,-98
1747832401.8833632,4,6,9
1747832401.9193633,-26,-44,85
1747832401.954363,-1,0,-70
1747832401.9903634,-41,-78,25
1747832402.0253634,-21,-42,63
1747832402.0603633,-61,-12,-14
1747832402.0963633,67,-2,-36
1747832402.1313634,58,20,-22
1747832402.1673634,54,46,-60
1747832402.2023633,4,-19,45
1747832402.237363,-24,-39,-80
1747832402.2723634,27,85,-80
1747832402.3083634,19,-63,-106
1747832402.3443637,38,-44,-93
1747832402.3793633,28,-10,9
1747832402.4153633,-73,-23,-102
1747832402.4503634,-141,50,-194
1747832402.4853632,-5,-23,9
1747832402.520363,38,54,-122
1747832402.556363,-7,28,-2
1747832402.5923634,68,-15,0
1747832402.6273634,-19,21,-80
1747832402.6633637,75,-39,-112
1747832402.6983633,7,-15,7
1747832402.7333634,23,24,-182
1747832402.7683637,-74,-66,-14
1747832402.8043633,-32,4,-28
1747832402.8403633,27,5,-94
1747832402.875363,37,31,-154
1747832402.9113634,13,-84,19
1747832402.9463634,9,-10,-150
1747832402.9813633,-30,-52,-40
1747832403.0163634,-30,-38,-126
1747832403.0523634,-26,65,-146
1747832403.0883634,5,-62,57
1747832403.1233633,-15,63,-94
1747832403.1593633,-57,-17,-90
1747832403.1943634,-29,-1,-80
1747832403.2293634,32,-2,-182
1747832403.2643633,-17,-50,60
1747832403.3003633,2,27,-47
1747832403.3363633,-5,-56,-9
1747832403.3713634,22,-58,-51
