time,x,y,z
1745269200.009236,-46,25,-37
1745269200.0442362,-65,45,12
1745269200.0802362,-24,31,-55
1745269200.115236,41,27,50
1745269200.151236,1,-36,-63
1745269200.186236,1,-56,-83
1745269200.2222362,-22,9,-33
1745269200.2572362,5,-14,-97
1745269200.292236,-76,33,-63
1745269200.328236,-46,47,-3
1745269200.3632362,-42,-22,-87
1745269200.3992362,7,-52,52
1745269200.434236,77,-24,78
1745269200.470236,63,-46,20
1745269200.505236,0,69,4
1745269200.5402362,16,-9,42
1745269200.5762362,73,41,-73
1745269200.611236,-40,33,-35
1745269200.647236,-126,-22,-51
1745269200.6822362,74,33,22
1745269200.717236,0,11,-25
1745269200.752236,-5,-18,-43
1745269200.788236,-15,53,120
1745269200.8242362,4,27,42
1745269200.8592362,22,-44,-101
1745269200.8952365,-7,5,144
1745269200.930236,-60,-5,54
1745269200.9652362,17,0,166
1745269201.000236,-28,4,4
1745269201.036236,6,65,26
1745269201.072236,-44,72,102
1745269201.107236,5,-5,100
1745269201.1432362,11,-7,84
1745269201.1782362,75,72,76
1745269201.213236,43,-13,12
1745269201.2482362,-44,2,-15
1745269201.2842362,-15,-42,82
1745269201.3202362,24,3,-51
1745269201.355236,19,13,-19
1745269201.391236,46,-8,-33
1745269201.4262362,90,39,-81
1745269201.4612362,-29,19,46
1745269201.496236,-29,-50,54
1745269201.532236,38,19,56
1745269201.568236,-13,9,40
1745269201.6032362,-105,23,-49
1745269201.6392362,-23,-24,-91
1745269201.674236,-17,-4,-27
1745269201.709236,67,11,112
1745269201.7442362,77,-57,-21
1745269201.7802362,-22,17,-65
1745269201.8162365,-32,9,-19
1745269201.851236,32,1,-13
1745269201.887236,-7,0,110
1745269201.9222362,21,15,6
1745269201.957236,76,44,92
1745269201.992236,35,32,36
1745269202.0282362,13,-2,30
1745269202.0642362,23,-34,-11
1745269202.0992362,3,-34,6
1745269202.135236,43,-60,72
1745269202.170236,65,-68,22
1745269202.2052362,39,67,-71
1745269202.240236,13,0,-1
1745269202.276236,27,7,-69
1745269202.312236,-2,-17,128
1745269202.3472362,-48,17,24
1745269202.3832362,-47,-27,40
1745269202.4182365,34,-23,10
1745269202.453236,-53,-3,-101
1745269202.4882362,-30,-88,48
1745269202.5242362,-27,-17,-39
1745269202.5602362,-27,38,-109
1745269202.595236,-5,50,66
1745269202.631236,44,-21,-25
1745269202.6662362,-37,-10,160
1745269202.7012362,22,6,-107
1745269202.736236,-29,48,-61
1745269202.772236,-77,58,20
1745269202.808236,-7,4,-95
1745269202.8432362,98,-33,126
1745269202.8792362,-29,-37,18
1745269202.914236,-29,-30,46
1745269202.9492362,-6,-80,182
1745269202.9842362,5,13,-55
1745269203.0202365,21,5,6
1745269203.056236,13,21,102
1745269203.091236,33,23,20
1745269203.127236,-4,3,26
1745269203.1622362,89,-42,-181
1745269203.197236,-36,-26,64
1745269203.233236,14,42,74
1745269203.2682362,10,8,38
1745269203.3042362,-35,4,-87
1745269203.3392365,37,57,50
1745269203.375236,-14,61,-59
1745269203.410236,-76,25,0
1745269203.4452362,-48,-58,60
1745269203.4812362,26,0,38
1745269203.516236,-20,-60,0
1745269203.552236,-50,29,-11
1745269203.5872362,31,-8,104
1745269203.6232362,1,-24,-53
1745269203.658236,25,101,62
1745269203.693236,26,-22,144
1745269203.729236,41,1,-21
1745269203.7642362,-44,41,116
1745269203.8002362,-5,52,92
1745269203.835236,3,-16,96
1745269203.871236,-100,-52,14
1745269203.9062362,-56,-68,-113
1745269203.9412365,-42,13,-15
1745269203.977236,53,-14,62
1745269204.012236,17,-58,-133
1745269204.048236,-4,-90,-25
1745269204.0832362,5,-94,8
1745269204.1192362,-10,59,20
1745269204.154236,37,-10,-39
