time,x,y,z
1755702000.0049446,-1,0,-2
1755702000.0419445,2,-3,0
1755702000.0809443,0,-2,6
1755702000.1189446,0,-2,9
1755702000.1619446,2,-4,2
1755702000.200945,-1,0,-3
1755702000.2389443,2,1,3
1755702000.2749443,1,-4,12
1755702000.3119447,-3,-4,6
1755702000.3509445,2,4,13
1755702000.3889446,0,2,-7
1755702000.4249446,0,-1,0
1755702000.4619446,-1,-3,-8
1755702000.4999447,-1,-2,-1
1755702000.5389447,-11,-3,0
1755702000.5749447,-5,6,0
1755702000.611945,1,0,0
1755702000.6499443,0,3,-4
1755702000.687945,-9,-3,5
1755702000.723945,-1,-2,8
1755702000.7609446,-1,7,3
1755702000.7999446,2,2,2
1755702000.8379445,3,1,-1
1755702000.8739443,4,-1,2
1755702000.9109447,9,-2,2
1755702000.9499447,1,-3,11
1755702000.9879446,2,-6,-5
1755702001.0239446,4,-11,-7
1755702001.0609446,-1,0,-3
1755702001.0999446,-4,-2,0
1755702001.1379447,4,3,-7
1755702001.1739447,-2,1,-1
1755702001.210945,1,-3,-8
1755702001.2499447,-3,2,-6
1755702001.2879446,-1,3,4
1755702001.3239446,3,0,-5
1755702001.3609445,-6,-2,1
1755702001.3999443,-1,-5,5
1755702001.437945,2,0,3
1755702001.4749446,9,-6,-1
1755702001.5119443,4,0,3
1755702001.5499446,2,-1,-1
1755702001.585945,1,2,-4
1755702001.6229446,1,0,3
1755702001.6599443,6,3,6
1755702001.6979446,8,-1,-4
1755702001.733945,4,-7,2
1755702001.7709446,2,-4,-3
1755702001.8099446,0,0,-1
1755702001.8459446,2,0,-7
1755702001.8839445,0,-2,1
1755702001.9219446,0,-6,-2
1755702001.9599447,0,-2,0
1755702001.9959445,5,2,-18
1755702002.0339446,2,2,-7
1755702002.0709443,6,10,-2
1755702002.108945,-4,3,0
1755702002.144945,-1,-2,-9
1755702002.1829443,4,-5,-3
1755702002.2209446,0,-4,-3
1755702002.259945,0,4,-6
1755702002.2959447,4,1,2
1755702002.3329446,5,-4,10
1755702002.3709445,1,-7,-10
1755702002.4099443,0,-6,8
1755702002.4459443,0,-4,-3
1755702002.4829447,-1,0,-9
1755702002.5209446,0,-7,-5
1755702002.5599446,0,0,-4
1755702002.5959446,1,0,-1
1755702002.6329446,3,7,-6
1755702002.6709447,-2,2,2
1755702002.7089446,-2,1,1
1755702002.7449446,4,2,-6
1755702002.7819445,-2,2,-7
1755702002.8209443,-3,-1,6
1755702002.858945,3,-2,1
1755702002.894945,-2,1,-2
1755702002.9319446,5,-2,3
1755702002.9699447,-1,0,2
1755702003.0059447,6,0,7
1755702003.042945,-5,-5,2
1755702003.0809443,-5,-6,-16
1755702003.1199446,0,-12,-2
1755702003.1559446,4,-5,-10
1755702003.1929443,-1,-4,-1
1755702003.2309446,-1,-7,0
1755702003.269945,2,-2,8
1755702003.3059447,-3,-5,5
1755702003.3439443,-1,0,0
1755702003.3829446,0,9,12
1755702003.4209447,0,7,-4
1755702003.4589446,-3,6,-11
1755702003.4949446,-2,2,-12
1755702003.532945,0,1,0
1755702003.5709443,4,1,5
1755702003.6069446,6,1,-2
1755702003.6439445,-2,-3,-3
1755702003.6829443,-1,-1,-1
1755702003.7209446,1,-2,-2
1755702003.756945,2,-2,-2
1755702003.7939446,-2,-1,2
1755702003.8329446,10,5,-5
1755702003.8709445,1,0,-1
1755702003.9069445,9,-2,0
1755702003.9439447,-2,2,6
1755702003.9819446,0,-1,1
1755702004.0209446,-3,2,-4
1755702004.0569446,-1,1,3
1755702004.0939443,-1,0,-1
1755702004.1329446,1,0,-11
1755702004.1709447,-1,0,4
1755702004.2069447,0,-3,0
1755702004.2439446,-6,-3,-7
1755702004.2819445,3,-2,-8
1755702004.3209443,0,-3,-15
1755702004.3569446,-4,-8,0
1755702004.3939445,0,-7,-2
1755702004.4319446,0,-2,-6
1755702004.4709446,12,4,-2
1755702004.506945,3,2,-3
1755702004.5439446,-1,2,-3
1755702004.5819447,-10,-6,1
1755702004.6209445,-9,-5,-11
1755702004.6569445,-2,-5,-9
1755702004.6949446,-4,-8,9
1755702004.7329447,-4,-7,7
1755702004.7719443,-2,0,-1
1755702004.8099446,-1,1,-7
1755702004.8459446,-2,4,1
1755702004.8829446,1,4,3
1755702004.9209447,3,5,0
1755702004.9569447,0,6,2
1755702004.9939446,1,4,2
1755702005.0319445,-1,0,-12
1755702005.0699446,0,5,-5
1755702005.1059446,1,-1,-13
1755702005.1429446,0,0,-8
1755702005.1819446,-3,4,-11
1755702005.2199447,5,-6,6
1755702005.2559447,0,-13,4
1755702005.292945,-2,-4,0
1755702005.3319447,-1,0,2
1755702005.3699446,-2,0,0
1755702005.4059446,-6,-1,-9
1755702005.4449446,2,1,7
1755702005.4819446,1,-6,-5
1755702005.5209446,-7,-2,10
1755702005.5569446,1,0,0
1755702005.5949447,2,-1,4
1755702005.631945,-4,-6,-8
1755702005.6709447,-5,0,-8
1755702005.7069447,-1,0,0
1755702005.7439446,0,-1,-3
1755702005.7819445,4,-5,0
1755702005.8209443,14,0,1
1755702005.8569446,9,5,6
1755702005.894945,6,2,-6
1755702005.9319446,3,2,2
1755702005.9679446,5,2,2
1755702006.0049446,-2,3,0
