time,x,y,z
1740898920.999251,47,-169,-43
1740898921.045251,83,-19,-43
1740898921.091251,69,-131,4
1740898921.136251,17,-51,50
1740898921.182251,-2,-111,-49
1740898921.228251,-32,-89,56
1740898921.274251,59,-109,2
1740898921.3192508,-28,-129,62
1740898921.3652508,-58,-85,-7
1740898921.4112508,-24,-21,-107
1740898921.456251,-16,-43,-103
1740898921.502251,23,-161,46
1740898921.548251,17,-155,-201
1740898921.594251,63,-113,-9
1740898921.639251,-80,-59,58
1740898921.685251,13,-45,30
1740898921.731251,23,-37,-89
1740898921.7762508,5,-58,-27
1740898921.8222508,57,-57,28
1740898921.8682508,-40,-55,-75
1740898921.9142509,-88,-24,-63
1740898921.959251,43,-70,-23
1740898922.005251,0,-78,34
1740898922.051251,-24,-50,12
1740898922.096251,-84,-60,-15
1740898922.142251,-6,-34,-11
1740898922.188251,13,-10,22
1740898922.234251,41,-46,-127
1740898922.2792509,75,-44,-9
1740898922.3252509,15,-104,96
1740898922.3712509,11,-32,-93
1740898922.416251,-16,-15,-33
1740898922.462251,79,-7,-21
1740898922.508251,-56,-31,-133
1740898922.554251,5,-33,44
1740898922.5992508,27,-16,0
1740898922.6452508,-50,-28,38
1740898922.6912508,87,-36,-9
1740898922.7362509,-16,23,-69
1740898922.782251,81,25,44
1740898922.828251,69,-4,56
1740898922.874251,33,23,46
1740898922.919251,-80,-14,-45
1740898922.965251,-44,-54,8
1740898923.012251,-18,-12,-61
1740898923.058251,-46,17,-43
1740898923.103251,35,7,-27
1740898923.149251,39,-92,40
1740898923.195251,17,-8,14
1740898923.2402508,27,-2,-66
1740898923.2862508,-20,15,-2
1740898923.3322508,25,49,-30
1740898923.3782508,35,11,-82
1740898923.423251,-12,-24,-8
1740898923.469251,-8,-74,-44
1740898923.515251,47,15,-38
1740898923.560251,-36,65,159
1740898923.606251,0,-20,-94
1740898923.652251,44,0,63
1740898923.698251,-11,15,-84
1740898923.7432508,62,-14,5
1740898923.7892509,-19,-8,49
1740898923.8352509,-17,-24,33
1740898923.880251,26,9,-14
1740898923.926251,22,-38,-118
1740898923.972251,16,9,-114
1740898924.018251,-33,33,-104
1740898924.063251,-7,-2,115
1740898924.109251,0,55,91
1740898924.155251,10,-26,31
1740898924.2002509,-47,-20,-50
1740898924.2462509,24,-20,0
1740898924.2922509,-29,-4,69
1740898924.3382509,60,-2,-98
1740898924.383251,-25,-12,-8
1740898924.429251,-5,45,1
1740898924.475251,12,-4,71
1740898924.5202508,-39,-62,33
1740898924.5662508,68,9,-30
1740898924.6122508,2,53,-48
1740898924.657251,-17,29,-40
