time,x,y,z
1761015600.0330508,-3,4,-6
1761015600.0700507,-1,4,-4
1761015600.1090508,-5,3,-1
1761015600.1470506,-3,2,-5
1761015600.1830506,-1,-3,1
1761015600.2200508,2,4,0
1761015600.258051,6,4,3
1761015600.2940507,-1,-5,-12
1761015600.3330507,0,-1,-3
1761015600.370051,-5,-1,-19
1761015600.4090507,-4,-5,-5
1761015600.4470508,-5,1,-1
1761015600.4830508,1,5,0
1761015600.5200508,3,-1,6
1761015600.5580506,-1,-1,-2
1761015600.5940506,-12,-4,-4
1761015600.6320508,-4,-5,-2
1761015600.6700506,5,2,-3
1761015600.7080507,4,-4,0
1761015600.7440507,3,-3,1
1761015600.7810507,4,-1,12
1761015600.8190508,-8,0,4
1761015600.857051,-1,3,0
1761015600.893051,-1,-3,9
1761015600.9320507,2,6,13
1761015600.9690506,4,-1,1
1761015601.005051,12,0,0
1761015601.0430508,-3,-3,-2
1761015601.0810506,-4,-6,-6
1761015601.1190507,0,-4,-7
1761015601.1580508,-2,5,-5
1761015601.1940508,-2,1,-3
1761015601.232051,-3,1,0
1761015601.2690508,0,0,5
1761015601.3050506,-2,-4,4
1761015601.3430507,-3,0,-8
1761015601.3810508,1,-1,-6
1761015601.4190507,5,-3,-5
1761015601.4580507,-1,-5,-9
1761015601.4940507,-3,0,0
1761015601.5310507,0,1,-3
1761015601.5690508,1,-3,-9
1761015601.6050508,-3,-2,-4
1761015601.6440508,-1,-4,4
1761015601.6810508,1,-2,1
1761015601.7190506,0,-8,-5
1761015601.758051,-1,-6,-6
1761015601.7940507,-7,-3,3
1761015601.8310506,4,-1,-11
1761015601.870051,3,-3,0
1761015601.9080508,-6,-3,9
1761015601.9440508,-1,-2,5
1761015601.982051,4,3,0
1761015602.0200508,8,0,-6
1761015602.0580506,0,2,2
1761015602.0940506,2,0,10
1761015602.1310508,6,0,-3
1761015602.1690507,6,-1,-9
1761015602.2050507,-3,0,-10
1761015602.2420506,5,-4,-5
1761015602.2810507,7,-11,-3
1761015602.3190508,2,-4,-2
1761015602.3550508,2,-3,6
1761015602.3920507,-6,-10,7
1761015602.4300506,1,-5,9
1761015602.4690506,8,2,0
1761015602.505051,5,4,7
1761015602.5420508,0,3,1
1761015602.5800507,-5,5,0
1761015602.6180508,0,2,0
1761015602.6540508,-2,4,2
1761015602.6910508,3,0,3
1761015602.7290506,-1,0,5
1761015602.7650506,-6,0,5
1761015602.8020508,1,0,-4
1761015602.8400507,-5,-4,-7
1761015602.8780508,-4,-10,-9
1761015602.9150507,2,-1,-1
1761015602.9520507,3,0,0
1761015602.9900508,-1,-2,2
1761015603.0260508,0,-7,3
1761015603.0630507,4,1,-1
1761015603.1000507,2,1,3
1761015603.1360507,0,4,-5
1761015603.1730506,0,0,-9
1761015603.2100508,0,-1,-8
1761015603.2490506,0,-1,-9
1761015603.2850506,0,3,5
1761015603.3220508,1,0,5
1761015603.360051,-2,0,4
1761015603.3960507,0,-4,-8
1761015603.4340508,0,-2,-2
1761015603.472051,4,0,-1
1761015603.5100508,-4,-12,3
1761015603.5460508,-1,-6,-7
1761015603.584051,0,-3,-16
1761015603.6220508,4,0,-5
1761015603.6600506,4,2,-7
1761015603.6960506,-1,1,3
1761015603.7330508,2,11,-3
1761015603.7700508,-4,3,-15
1761015603.8090508,10,1,-14
1761015603.8450508,5,8,-3
1761015603.8820508,4,5,3
1761015603.9200506,-3,7,-16
1761015603.9560506,-4,4,-11
1761015603.9930508,-2,0,-4
1761015604.0310507,0,-6,-13
1761015604.0700507,-3,-4,-7
1761015604.1060507,0,0,-5
1761015604.143051,-1,3,-16
1761015604.1810508,-2,6,-4
1761015604.2200508,-1,1,-5
1761015604.2560508,-3,-3,8
1761015604.2930508,-2,1,4
1761015604.3310506,5,5,2
1761015604.3690507,0,-5,-4
1761015604.4050508,-2,1,0
1761015604.4420507,2,0,-2
1761015604.4800508,-3,0,1
1761015604.5160508,0,-4,4
1761015604.5530508,-2,0,5
1761015604.5910506,4,1,0
1761015604.6290507,0,1,7
1761015604.6650507,-4,-3,-3
1761015604.7030506,0,0,-1
1761015604.7410507,2,0,0
1761015604.7790508,-1,0,-10
1761015604.8150508,0,-5,-6
1761015604.8520508,0,0,-9
1761015604.8910508,5,2,-2
1761015604.9290507,5,0,-2
1761015604.9650507,8,-2,-4
1761015605.0020506,6,4,-7
1761015605.041051,3,4,1
1761015605.0770507,1,2,9
1761015605.1140506,-4,2,-7
1761015605.1520507,6,-4,-5
1761015605.1910508,0,-1,-5
1761015605.2270508,7,2,1
