time,x,y,z
1767506400.005238,-5,-2,48
1767506400.015238,-4,-4,44
1767506400.025238,-1,-7,48
1767506400.0352385,6,-9,50
1767506400.0452385,7,-7,50
1767506400.0552382,5,-8,51
1767506400.0652382,0,-2,50
1767506400.0752382,1,-3,55
1767506400.0852382,7,-3,53
1767506400.0952382,8,-3,48
1767506400.1052382,3,0,43
1767506400.1152382,2,-1,39
1767506400.1252382,2,0,38
1767506400.1352382,-1,1,43
1767506400.1452382,-1,0,43
1767506400.1552382,0,-1,38
1767506400.165238,-1,-1,43
1767506400.175238,1,1,45
1767506400.185238,3,1,47
1767506400.195238,5,0,52
1767506400.205238,1,-2,46
1767506400.215238,2,-3,42
1767506400.225238,11,-2,38
1767506400.235238,10,-2,35
1767506400.245238,7,-2,37
1767506400.255238,9,-4,39
1767506400.265238,8,-5,35
1767506400.275238,6,-4,36
1767506400.2852385,0,-5,40
1767506400.2952385,-1,-8,41
1767506400.3052382,-7,-10,40
1767506400.3152382,-10,-8,38
1767506400.3252382,-8,-5,38
1767506400.3352382,-6,-5,47
1767506400.3452382,-1,-4,50
1767506400.3552382,0,-8,42
1767506400.3652382,-1,-4,46
1767506400.3752382,0,-4,45
1767506400.3852382,2,-3,39
1767506400.3952382,5,1,45
1767506400.4052382,8,-3,44
1767506400.415238,5,-8,42
1767506400.425238,5,-2,42
1767506400.435238,8,-1,43
1767506400.445238,5,-1,46
1767506400.455238,0,0,50
1767506400.465238,2,-2,46
1767506400.475238,2,-2,50
1767506400.485238,6,-3,52
1767506400.495238,7,3,56
1767506400.505238,5,3,51
1767506400.515238,6,-2,53
1767506400.525238,0,-5,56
1767506400.5352385,-1,-1,56
1767506400.5452385,-2,-3,58
1767506400.5552382,0,-1,63
1767506400.5652382,0,-3,66
1767506400.5752382,1,-6,56
1767506400.5852382,-3,-2,53
1767506400.5952382,-6,-1,50
1767506400.6052382,-3,-3,56
1767506400.6152382,-1,-2,47
1767506400.6252382,3,2,41
1767506400.6352382,-1,0,44
1767506400.6452382,-1,6,44
1767506400.6552382,0,4,43
1767506400.665238,3,1,39
1767506400.675238,1,4,39
1767506400.685238,0,0,38
1767506400.695238,3,-1,39
1767506400.705238,5,-4,44
1767506400.715238,2,-2,44
1767506400.725238,2,-1,44
1767506400.735238,3,0,49
1767506400.745238,0,2,46
1767506400.755238,0,-3,49
1767506400.765238,-1,-6,49
1767506400.775238,-5,-5,50
1767506400.7852385,-6,-7,54
1767506400.7952385,-2,-8,52
1767506400.8052382,0,-7,46
1767506400.8152382,3,-3,46
1767506400.8252382,-1,-1,51
1767506400.8352382,-1,-7,49
1767506400.8452382,-1,-10,48
1767506400.8552382,0,-5,51
1767506400.8652382,1,-1,52
1767506400.8752382,-1,0,53
1767506400.8852382,-1,1,45
1767506400.8952382,3,0,43
1767506400.9052382,2,6,39
1767506400.915238,1,3,41
1767506400.925238,0,1,39
1767506400.935238,1,2,38
1767506400.945238,-1,4,44
1767506400.955238,-1,3,50
1767506400.965238,-3,1,47
1767506400.975238,-3,-1,50
1767506400.985238,-3,0,45
1767506400.995238,-1,1,53
1767506401.005238,-2,4,55
1767506401.015238,-3,4,52
1767506401.025238,-4,-1,47
1767506401.0352385,-4,-6,48
1767506401.0452385,-7,-6,43
1767506401.0552382,-7,-5,40
