time,x,y,z
1759950000.0190508,0,-5,-73
1759950000.0580506,-3,-2,-71
1759950000.0940506,-2,0,-65
1759950000.1320508,-3,-6,-66
1759950000.1690507,-2,-5,-61
1759950000.2080507,-3,0,-62
1759950000.2440507,3,-3,-62
1759950000.2810507,-3,5,-80
1759950000.3190508,-4,3,-72
1759950000.3580508,-5,-5,-67
1759950000.3940508,1,-3,-62
1759950000.4310508,0,-3,-69
1759950000.4700508,1,-2,-75
1759950000.508051,-5,0,-64
1759950000.5440507,2,-5,-58
1759950000.5810506,0,-8,-72
1759950000.620051,-7,0,-68
1759950000.6580508,0,4,-65
1759950000.6940508,3,1,-71
1759950000.7310507,-3,2,-80
1759950000.7700508,0,4,-68
1759950000.8080506,-1,-2,-62
1759950000.8440506,-2,-9,-64
1759950000.8820508,0,0,-76
1759950000.9200506,-1,-6,-77
1759950000.959051,2,0,-70
1759950000.995051,0,6,-65
1759950001.0330508,0,-2,-65
1759950001.0710506,1,2,-56
1759950001.110051,-2,-3,-56
1759950001.1480508,-5,-3,-61
1759950001.1840508,-7,-1,-58
1759950001.222051,-3,-6,-63
1759950001.2600508,-1,-4,-68
1759950001.2990508,0,-3,-73
1759950001.3350508,2,-1,-70
1759950001.3720508,1,1,-76
1759950001.4100506,3,0,-70
1759950001.4480507,0,0,-73
1759950001.4840508,-2,1,-75
1759950001.5210507,-8,-8,-67
1759950001.5600507,-3,-6,-69
1759950001.5960507,2,-6,-67
1759950001.6340508,5,-2,-74
1759950001.6720507,-8,-5,-77
1759950001.7100508,0,3,-76
1759950001.7460508,-1,0,-72
1759950001.7840507,0,-3,-64
1759950001.8220508,0,3,-75
1759950001.860051,0,6,-77
1759950001.8960507,6,3,-77
1759950001.9330506,0,-7,-67
1759950001.9710507,4,-7,-68
1759950002.0100508,3,-1,-56
1759950002.0460508,0,0,-65
1759950002.0830507,3,-2,-65
1759950002.1210508,5,-3,-65
1759950002.1600506,0,1,-56
1759950002.1960506,1,5,-63
1759950002.2330508,-4,1,-58
1759950002.2710507,-1,1,-71
1759950002.3100507,-5,6,-65
1759950002.3460507,1,0,-71
1759950002.383051,2,0,-69
1759950002.4210508,-1,5,-67
1759950002.459051,0,1,-68
1759950002.495051,-1,0,-67
1759950002.5330508,2,7,-67
1759950002.5710506,0,9,-67
1759950002.6090508,5,0,-71
1759950002.6460507,8,-1,-74
1759950002.6830506,2,2,-81
1759950002.7210507,-4,2,-66
1759950002.7590508,-2,0,-63
1759950002.7950506,6,-3,-61
1759950002.8330507,2,0,-76
1759950002.8710508,-2,-3,-75
1759950002.9090507,0,0,-73
1759950002.9450507,-4,0,-74
1759950002.9830508,-3,-5,-69
1759950003.0210507,-4,0,-64
1759950003.0600507,3,-9,-71
1759950003.0960507,0,-3,-71
1759950003.133051,-3,-13,-78
1759950003.1710508,-8,0,-67
1759950003.2100508,-3,5,-65
1759950003.2460508,0,4,-71
1759950003.2830508,-2,-1,-71
1759950003.3210506,-2,-3,-65
1759950003.360051,0,-3,-65
1759950003.3960507,-7,-2,-58
1759950003.4340508,1,-4,-57
1759950003.472051,-2,-8,-71
1759950003.5100508,0,-2,-72
1759950003.5460508,0,-3,-67
1759950003.5830507,0,2,-72
1759950003.6210508,-2,-9,-67
1759950003.6600506,2,0,-61
1759950003.6960506,3,2,-60
1759950003.7330508,-9,0,-65
1759950003.7710507,0,-10,-66
1759950003.8100507,-5,-6,-63
1759950003.8460507,3,-1,-67
1759950003.883051,0,-6,-66
1759950003.9210508,5,0,-65
1759950003.9600508,-3,-13,-65
1759950003.9960508,0,-5,-66
1759950004.0330508,3,-5,-71
1759950004.0710506,-2,-7,-70
1759950004.110051,-5,2,-76
1759950004.1460507,0,2,-68
1759950004.1840508,-1,1,-75
1759950004.222051,3,6,-71
1759950004.2600508,-2,1,-72
1759950004.2960508,2,2,-81
1759950004.334051,5,-6,-82
1759950004.3720508,0,-2,-67
1759950004.4110508,-5,-5,-60
1759950004.4470508,2,-1,-65
1759950004.485051,-5,-10,-60
1759950004.5230508,3,-5,-73
1759950004.5620508,-3,2,-67
1759950004.6000507,-4,5,-63
1759950004.6360507,-6,3,-59
1759950004.6730506,-6,-2,-69
1759950004.712051,-4,1,-68
1759950004.7500508,0,-4,-64
1759950004.7860508,1,-2,-57
1759950004.8230507,-2,-1,-76
1759950004.8620508,-4,1,-68
1759950004.9060507,-6,4,-68
1759950004.9440508,-2,-8,-67
1759950004.982051,-2,-2,-61
1759950005.0210507,0,-3,-64
1759950005.0570507,0,0,-60
1759950005.0940506,8,1,-59
1759950005.1320508,-6,1,-75
1759950005.1700506,-9,-1,-69
1759950005.2060506,0,0,-73
1759950005.2430508,12,1,-76
1759950005.2820508,1,-1,-72
1759950005.3180506,7,-1,-83
1759950005.3550508,8,0,-76
1759950005.3920507,-4,-10,-69
1759950005.4310508,-6,0,-73
1759950005.4670508,-9,-1,-75
1759950005.505051,-5,-1,-71
1759950005.5430508,2,0,-66
1759950005.5820508,4,0,-62
1759950005.6180508,3,-4,-61
1759950005.6550508,-3,-8,-62
1759950005.6930506,0,-7,-60
1759950005.732051,-2,0,-61
1759950005.768051,-3,2,-60
1759950005.8050506,2,1,-69
1759950005.8420508,6,4,-72
1759950005.8810508,0,3,-70
1759950005.9170508,-1,3,-78
1759950005.9540508,2,3,-64
1759950005.9920506,-2,4,-66
1759950006.0310507,1,-3,-71
1759950006.0670507,-6,-1,-64
1759950006.1050508,-3,-5,-62
1759950006.143051,-3,-4,-66
1759950006.1820507,-5,-4,-71
1759950006.2180507,1,-5,-67
1759950006.255051,1,-5,-77
1759950006.2930508,-11,5,-80
1759950006.3320508,3,-1,-79
1759950006.3680508,2,-8,-67
1759950006.4050508,1,-6,-64
1759950006.4430506,0,-2,-62
1759950006.482051,2,-3,-69
1759950006.518051,4,-3,-67
1759950006.5550506,2,-1,-63
1759950006.5930507,-1,-5,-69
1759950006.6320508,-3,-2,-72
1759950006.6680508,-1,-4,-68
1759950006.7060506,3,-6,-72
1759950006.7440507,-7,-5,-65
1759950006.7830508,1,-5,-66
1759950006.8210506,-1,-8,-66
1759950006.857051,3,-4,-72
1759950006.8940508,1,-8,-68
1759950006.9330506,-3,-7,-65
1759950006.9710507,4,0,-68
1759950007.0070508,-2,-1,-75
1759950007.0460508,3,0,-76
1759950007.0830507,1,-2,-69
1759950007.1220508,-5,0,-66
1759950007.1580508,-3,-1,-81
1759950007.1960506,-2,-14,-75
1759950007.2340508,-2,-3,-75
1759950007.2730508,0,-3,-75
1759950007.3090508,1,-1,-70
1759950007.3460507,11,4,-72
1759950007.383051,-2,2,-65
1759950007.4220507,-3,-1,-64
1759950007.4580507,-5,-1,-64
1759950007.4960508,2,1,-71
1759950007.5330508,1,-2,-58
1759950007.5720508,-5,2,-61
1759950007.6080508,-2,1,-70
1759950007.6450508,7,-2,-75
1759950007.6830506,0,-3,-76
1759950007.722051,0,-8,-72
1759950007.758051,0,-3,-70
1759950007.7950506,-2,-2,-67
1759950007.8330507,7,-2,-67
1759950007.8720508,-4,-3,-69
1759950007.9080508,-2,-9,-71
1759950007.9460506,2,-2,-67
1759950007.9840508,0,-2,-79
1759950008.0230508,2,2,-70
1759950008.0590508,4,0,-73
1759950008.0960507,4,-3,-72
1759950008.1340508,2,4,-71
1759950008.1720507,0,0,-61
1759950008.2080507,0,1,-59
1759950008.245051,2,0,-72
1759950008.2830508,0,0,-75
1759950008.3190508,3,0,-77
1759950008.3560507,-3,-4,-63
1759950008.3940508,0,-2,-68
1759950008.4330506,-1,-10,-66
1759950008.4690506,0,-8,-72
1759950008.5060508,-2,-5,-68
1759950008.5440507,-6,-4,-65
1759950008.5830507,-1,-7,-59
1759950008.6190507,4,-6,-71
1759950008.6570508,7,-2,-66
1759950008.6950507,0,-1,-68
1759950008.7340508,2,1,-66
1759950008.7720506,1,-1,-55
1759950008.8080506,2,-6,-57
1759950008.8460507,5,-7,-61
1759950008.8850508,2,-6,-69
1759950008.9230506,-3,0,-65
1759950008.959051,-10,-2,-67
1759950008.9980507,-9,3,-67
1759950009.0350506,-8,-2,-65
1759950009.074051,-5,-4,-71
1759950009.110051,-4,-6,-74
1759950009.1480508,-8,-2,-71
1759950009.186051,2,-1,-64
1759950009.2240508,8,-6,-58
1759950009.2630508,3,-3,-58
1759950009.2990508,0,-2,-71
1759950009.3360507,0,0,-62
1759950009.3740506,0,-2,-63
1759950009.4100506,1,4,-67
1759950009.4470508,-1,-2,-72
1759950009.485051,1,0,-67
1759950009.5230508,-10,1,-73
1759950009.5590508,-1,4,-66
1759950009.5960507,0,-5,-62
1759950009.6340508,-2,1,-66
1759950009.6730506,-2,-4,-63
1759950009.709051,-4,2,-70
1759950009.7470508,-8,-4,-66
1759950009.7840507,-4,-3,-61
1759950009.8230507,1,-5,-71
1759950009.8590508,-4,1,-67
1759950009.8960507,-8,-1,-65
1759950009.9350507,-4,1,-56
1759950009.9730508,-1,-3,-52
1759950010.0090508,-1,0,-63
1759950010.0470507,2,-5,-82
1759950010.0850508,-1,-6,-71
1759950010.1230507,0,-9,-61
1759950010.1590507,-4,-7,-61
1759950010.1970508,0,-7,-60
1759950010.235051,5,-3,-61
1759950010.2740507,2,-2,-63
1759950010.3100507,5,0,-58
1759950010.347051,0,1,-75
1759950010.3850508,1,0,-67
1759950010.4230506,-5,-4,-76
1759950010.459051,-1,-1,-71
1759950010.4970508,-2,-4,-67
1759950010.5350506,0,-5,-67
1759950010.574051,-1,-6,-67
1759950010.610051,-4,-6,-65
1759950010.6480508,-1,-2,-75
1759950010.686051,0,-4,-76
1759950010.7250507,-7,-11,-63
1759950010.7630508,-5,-12,-63
1759950010.7990508,-6,-5,-69
1759950010.837051,0,-6,-70
1759950010.8750508,2,-3,-67
1759950010.9140508,1,-3,-68
1759950010.9500508,6,3,-61
1759950010.9870508,1,2,-68
1759950011.0250506,0,0,-68
1759950011.061051,4,3,-61
1759950011.0980508,3,3,-65
1759950011.1350508,-3,0,-76
1759950011.1740508,2,0,-82
1759950011.2100508,1,-3,-79
1759950011.2480507,1,-5,-68
1759950011.2860508,-1,3,-62
1759950011.3250508,-1,-2,-67
1759950011.3610508,-4,-11,-77
1759950011.3990507,-6,-8,-74
1759950011.4380507,-4,-3,-73
1759950011.4750507,0,-1,-76
1759950011.5140507,2,2,-69
1759950011.5500507,4,0,-66
1759950011.5880508,0,-1,-65
1759950011.6250508,-6,0,-67
1759950011.6640508,-6,-2,-70
1759950011.7000508,3,4,-73
1759950011.7370508,-4,-2,-70
1759950011.7760508,-8,0,-63
1759950011.814051,4,-4,-63
1759950011.8500507,8,-6,-56
1759950011.8870506,3,3,-60
1759950011.926051,1,0,-70
1759950011.9640508,-8,2,-65
1759950012.0000508,-9,4,-72
1759950012.0370507,-1,-8,-65
1759950012.0760508,1,-10,-77
1759950012.1140506,4,1,-78
1759950012.1500506,1,0,-68
1759950012.1870508,1,4,-63
1759950012.2250507,-2,0,-73
1759950012.2610507,-9,1,-64
1759950012.2990508,0,-10,-71
1759950012.337051,0,-4,-65
1759950012.3760507,8,-5,-68
1759950012.4140508,-2,0,-67
1759950012.4500508,0,-1,-73
1759950012.4870508,-2,-2,-68
1759950012.5260508,1,1,-66
1759950012.564051,1,2,-72
1759950012.6000507,3,5,-69
1759950012.6370506,8,4,-76
1759950012.6750507,-5,-3,-58
1759950012.7110507,-3,-4,-47
1759950012.7490506,0,-2,-61
1759950012.7870507,2,-2,-72
1759950012.8260508,0,-4,-56
1759950012.8620508,2,6,-64
1759950012.8990507,-1,0,-68
1759950012.9370508,2,-1,-61
1759950012.9760506,-5,0,-64
1759950013.0120506,-3,2,-69
1759950013.0500507,0,-2,-66
1759950013.0880508,-1,3,-57
1759950013.1260507,-6,4,-61
1759950013.1650507,0,-2,-65
1759950013.2010508,0,-5,-72
1759950013.2390506,-6,-6,-63
1759950013.2770507,3,-7,-74
1759950013.3160508,1,-9,-73
1759950013.3520508,0,-7,-74
1759950013.3900506,0,-2,-75
1759950013.4280508,2,0,-68
1759950013.4660506,2,0,-68
1759950013.5020506,0,-6,-65
1759950013.5400507,-2,0,-70
1759950013.5780506,-5,1,-73
1759950013.6180508,6,-4,-64
1759950013.6560507,2,-2,-64
1759950013.6920507,0,-4,-64
1759950013.7290506,-1,-3,-60
1759950013.7670507,1,-1,-64
1759950013.8060508,-4,-4,-72
1759950013.8420508,0,0,-76
1759950013.8790507,5,-7,-64
1759950013.9170508,-1,-6,-69
1759950013.9560506,-5,-7,-69
1759950013.9920506,-2,-4,-69
1759950014.0300508,4,-4,-68
1759950014.0690508,3,-7,-70
1759950014.107051,-1,-1,-53
1759950014.1450508,-1,1,-68
1759950014.1810508,-1,-1,-64
1759950014.2190506,-5,-2,-61
1759950014.2570508,0,0,-73
1759950014.2950506,-2,-4,-59
1759950014.3310506,4,0,-64
1759950014.3690507,-5,-3,-73
1759950014.4070508,0,-4,-66
1759950014.4450507,-1,-7,-58
1759950014.4810507,0,1,-60
1759950014.5190508,2,0,-62
1759950014.5570507,-2,-6,-71
1759950014.5950508,-3,-2,-66
1759950014.6310508,3,0,-79
1759950014.6680508,0,-2,-76
1759950014.7070508,-1,-2,-78
1759950014.7430508,-5,-5,-74
1759950014.7810507,-3,3,-73
1759950014.8190508,-2,-2,-52
1759950014.857051,-8,-3,-61
1759950014.8960507,-4,0,-66
1759950014.9400508,0,2,-59
1759950014.9780507,-6,-2,-61
1759950015.0170507,-6,-7,-67
1759950015.0530508,0,-6,-67
1759950015.0910506,1,-10,-64
1759950015.1280508,2,2,-63
1759950015.166051,-1,-2,-74
1759950015.2020507,0,2,-82
1759950015.2390506,6,0,-70
1759950015.2770507,3,0,-65
1759950015.3130507,0,3,-66
1759950015.3500507,-5,-5,-64
1759950015.3880508,2,-2,-68
1759950015.4270508,1,-3,-66
1759950015.4630508,0,5,-62
1759950015.5000508,0,2,-59
1759950015.538051,4,0,-74
1759950015.5760508,-3,0,-69
1759950015.6120508,-10,0,-78
1759950015.6490507,-8,-6,-66
1759950015.6880507,-7,-3,-62
1759950015.7260506,0,-4,-61
1759950015.7620506,0,2,-64
1759950015.7990508,3,6,-72
1759950015.8380508,6,3,-66
1759950015.8760507,1,-1,-61
1759950015.9120507,-4,1,-58
1759950015.949051,3,0,-67
1759950015.9870508,3,3,-72
1759950016.0230508,0,-5,-60
1759950016.061051,-1,-1,-68
1759950016.0990508,0,0,-69
1759950016.1380508,-2,0,-61
1759950016.176051,-1,-4,-70
1759950016.212051,0,-5,-77
1759950016.2490506,0,-7,-57
1759950016.288051,-1,-6,-68
1759950016.3260508,4,0,-69
1759950016.3620508,0,-4,-67
1759950016.3990507,2,0,-68
1759950016.4370508,2,-2,-71
1759950016.4730508,8,0,-69
1759950016.5110507,0,0,-67
1759950016.5490508,3,-1,-63
1759950016.5880508,3,-3,-61
1759950016.6240506,1,-10,-67
