time,x,y,z
1757870127.385625,4,0,-7
1757870127.4236248,12,-2,0
1757870127.4626248,0,3,-1
1757870127.500625,-4,-1,9
1757870127.536625,-3,-3,5
1757870127.5736248,1,1,-5
1757870127.6116247,4,8,-11
1757870127.6476247,5,0,-7
1757870127.684625,0,1,-11
1757870127.7226248,-5,7,0
1757870127.760625,-2,-4,-8
1757870127.796625,-3,-1,1
1757870127.8336248,4,0,-9
1757870127.8716247,1,-5,-13
1757870127.9076247,2,-5,-9
1757870127.9466248,1,-6,1
1757870127.9836247,0,0,0
1757870128.0216248,-4,1,-4
1757870128.0576248,-1,-3,-14
1757870128.0956247,-2,-5,-3
1757870128.1336248,2,-3,-12
1757870128.1726248,-4,-3,-7
1757870128.2106247,-2,5,-2
1757870128.2466247,3,-2,0
1757870128.283625,-1,-9,-9
1757870128.3226247,3,-7,0
1757870128.3606248,2,0,-10
1757870128.3966248,0,-3,-4
1757870128.4336247,6,1,0
1757870128.4716249,3,3,-7
1757870128.5076249,2,2,-3
1757870128.5456247,-6,0,-1
1757870128.5836248,-6,-4,2
1757870128.6216247,-4,1,6
1757870128.6576247,4,-3,-8
1757870128.6956248,5,-4,0
1757870128.7326248,3,-6,6
1757870128.7686248,-8,3,8
1757870128.8056247,-2,-2,-1
1757870128.8436248,5,-7,-6
1757870128.8826249,0,-4,-10
1757870128.9186249,-4,-3,-9
1757870128.9566247,8,-3,-15
1757870128.9946249,1,-7,-9
1757870129.0326247,-3,-2,-1
1757870129.0716248,-1,-3,6
1757870129.1076248,-4,-3,5
1757870129.1446247,5,-2,4
1757870129.1826248,5,0,0
1757870129.2186248,3,-5,0
1757870129.2566247,5,2,6
1757870129.2926247,2,-1,4
1757870129.329625,14,-3,0
1757870129.3666248,2,7,-8
1757870129.4036248,2,-2,-9
1757870129.4426248,0,-2,-5
1757870129.4786248,-1,4,-12
1757870129.5166247,-2,-4,-7
1757870129.5556247,-5,0,4
1757870129.5936248,0,0,1
1757870129.6316247,0,1,13
1757870129.6676247,3,-1,8
1757870129.7056248,-1,-1,-17
1757870129.7436247,-1,-1,-11
1757870129.7816248,2,-4,0
1757870129.8176248,5,-5,-8
1757870129.855625,2,-9,-3
1757870129.8936248,0,-4,-6
1757870129.931625,0,5,-5
1757870129.967625,9,-2,1
1757870130.0056248,5,1,-5
1757870130.0436249,0,-1,1
1757870130.0816247,0,-2,-6
1757870130.1176248,1,2,4
1757870130.1556249,-5,0,6
1757870130.1936247,-5,-8,1
1757870130.2316248,0,-5,6
1757870130.2676249,3,-1,5
1757870130.3056247,2,1,-5
1757870130.3436248,0,-1,-12
1757870130.3816247,-6,1,-1
1757870130.4176247,0,2,-5
1757870130.4556248,1,2,0
1757870130.4936247,4,-2,-14
1757870130.5296247,1,-3,4
1757870130.5666249,0,-1,2
1757870130.605625,5,-4,14
1757870130.6436248,-1,-3,-6
1757870130.6796248,-4,-1,0
1757870130.7166247,3,4,-4
1757870130.753625,-1,7,-6
1757870130.7926247,6,-2,0
1757870130.8286247,4,-1,0
1757870130.8666248,9,0,-2
1757870130.9046247,2,1,0
1757870130.9396248,2,3,-4
1757870130.9766247,-1,-5,-5
1757870131.0146248,-1,-4,-12
1757870131.0536249,0,0,-12
1757870131.089625,-7,0,0
1757870131.1266248,4,4,-7
1757870131.1636248,0,0,-11
1757870131.1996248,0,1,-10
1757870131.237625,4,1,-5
1757870131.2746248,-2,0,-3
1757870131.3136249,3,0,7
1757870131.3496249,5,-3,4
1757870131.3876247,3,0,-1
1757870131.4246247,1,-3,6
1757870131.4626248,1,-2,-2
1757870131.4986248,-2,0,-10
1757870131.5376248,0,0,-5
1757870131.5746248,2,3,3
1757870131.612625,0,-2,0
1757870131.648625,-4,-5,1
1757870131.6866248,1,-1,-7
1757870131.7246249,-4,4,-3
1757870131.763625,-1,-3,-6
1757870131.7996247,4,0,-18
1757870131.8366249,4,-1,-10
1757870131.8746247,7,-5,-2
1757870131.9136248,2,-1,-5
1757870131.9496248,-2,0,-5
1757870131.9866247,5,-8,1
1757870132.0246248,0,-1,4
1757870132.0636249,-4,0,8
1757870132.0996249,6,0,7
1757870132.1366248,-1,-7,0
1757870132.1746247,-2,0,-2
1757870132.2136247,0,2,0
1757870132.2496247,3,6,-15
1757870132.286625,8,7,-5
1757870132.3246248,8,-4,-4
1757870132.3636248,1,-1,-14
1757870132.3996248,7,5,-7
1757870132.4366248,8,1,-1
1757870132.4746249,2,-5,0
1757870132.510625,-4,-4,-4
1757870132.5486248,4,-5,-8
1757870132.5866249,4,-7,-8
1757870132.6246247,6,0,-6
1757870132.6606247,5,4,2
1757870132.6976247,1,0,-4
1757870132.7356248,1,0,-3
1757870132.7746248,-6,-2,-1
1757870132.8106248,-3,-4,0
1757870132.8476248,6,3,-11
1757870132.8846247,3,-2,-6
1757870132.9236248,2,1,-12
1757870132.9596248,4,0,-6
1757870132.9976249,-2,-2,-1
1757870133.0346248,1,-5,-7
1757870133.0736248,0,-5,0
1757870133.1096249,-4,1,5
1757870133.1476247,-4,-7,-6
1757870133.1856248,1,-1,-3
1757870133.2236247,1,-1,-8
