time,x,y,z
1747875600.0323634,-41,-14,-97
1747875600.0673633,-45,-16,-1
1747875600.1033633,-45,25,-59
1747875600.1383634,-27,-64,72
1747875600.1733634,-77,-85,-37
1747875600.2083633,-11,-26,40
1747875600.2443633,-9,-52,-75
1747875600.280363,-39,22,52
1747875600.3153634,100,27,22
1747875600.3513634,13,-18,68
1747875600.3863633,-33,-54,80
1747875600.4213634,-7,7,-93
1747875600.4563634,-6,-46,-11
1747875600.4923637,45,-18,9
1747875600.5283637,24,-22,57
1747875600.5633633,-99,0,-18
1747875600.599363,-49,6,-48
1747875600.6343634,16,-25,-192
1747875600.6693633,-22,-11,0
1747875600.704363,41,49,11
1747875600.7403634,61,19,-68
1747875600.7763634,-3,2,-94
1747875600.8113637,90,-28,63
1747875600.8473637,-85,96,-110
1747875600.882363,-29,60,-146
1747875600.9173634,4,-19,-14
1747875600.9523633,-21,-19,43
1747875600.9883633,-13,-19,5
1747875601.0243633,-33,8,-44
1747875601.0593634,-16,9,-92
1747875601.0953634,-22,27,-2
1747875601.1303637,12,-53,9
1747875601.1653633,70,84,-48
1747875601.2003634,-85,34,-72
1747875601.2363634,-73,-13,-54
1747875601.2723634,-52,13,123
1747875601.3073633,8,28,-12
1747875601.3433633,74,-7,0
1747875601.3783634,-5,0,-3
1747875601.4133637,-11,-27,104
1747875601.4493637,-87,63,18
1747875601.4843633,16,35,51
1747875601.520363,-14,-27,-12
1747875601.5553634,-42,64,-28
1747875601.5913634,26,-54,-31
1747875601.6263633,23,-26,-19
1747875601.6613634,-35,15,32
1747875601.6973634,-109,-80,-9
1747875601.7323637,42,-6,-135
1747875601.7683637,-1,-51,-5
1747875601.803363,-119,28,91
1747875601.839363,40,50,-28
1747875601.8743634,6,-49,-76
1747875601.9093633,4,-25,23
1747875601.9453633,56,42,53
1747875601.9803634,59,-1,-14
1747875602.0163634,0,-25,-14
1747875602.0513637,-26,-5,-90
1747875602.0873632,-25,11,73
1747875602.122363,35,-105,-6
1747875602.1573634,45,-53,5
1747875602.1933634,36,1,3
1747875602.2283633,-19,-8,-42
1747875602.2643633,77,-49,-44
1747875602.2993634,-58,-33,-54
1747875602.3353634,31,58,-30
1747875602.3703637,1,16,-44
1747875602.405363,-38,-19,45
1747875602.441363,-46,46,109
1747875602.4763634,-12,-57,-158
1747875602.5123634,35,-2,-72
1747875602.5473633,59,9,65
1747875602.5823634,-24,33,-83
1747875602.6173637,-76,-32,39
1747875602.6533637,-52,-48,-22
1747875602.6893632,-52,-12,9
1747875602.724363,-42,-36,-64
1747875602.760363,68,36,89
1747875602.7953634,26,12,39
1747875602.8303633,48,-19,-36
1747875602.8653634,-78,7,-24
1747875602.9013634,58,-29,-102
1747875602.9373634,6,-91,-27
1747875602.9723637,-97,50,48
1747875603.0083632,-43,-5,38
1747875603.043363,-23,31,-75
1747875603.0783634,56,-28,-42
1747875603.1133633,-5,-44,-84
1747875603.1493633,14,-46,-10
1747875603.1853633,-17,-10,-72
1747875603.2203634,-51,-10,-54
1747875603.2563634,12,-7,-66
1747875603.2913637,-45,-16,26
1747875603.326363,-43,62,27
1747875603.3613634,26,90,-145
1747875603.3973634,32,-51,-101
1747875603.4333634,20,30,-99
1747875603.4683633,-25,30,66
1747875603.5043633,-84,-6,-67
1747875603.5393634,7,65,104
1747875603.5743637,87,-12,8
1747875603.6093633,-44,-8,6
1747875603.645363,-11,-31,26
1747875603.681363,50,0,-73
1747875603.7163634,-19,-31,-83
1747875603.7523634,-75,99,18
1747875603.7873633,20,39,-27
1747875603.8223634,62,-78,24
1747875603.8573637,20,68,36
1747875603.8933637,-39,12,-97
1747875603.9293633,32,-15,44
1747875603.964363,50,-21,14
1747875604.000363,-47,-73,-71
1747875604.0353634,22,-7,-57
1747875604.0703633,-1,-3,62
1747875604.1053634,-53,-25,-75
1747875604.1413634,-15,12,66
1747875604.1773634,-17,-1,-23
1747875604.2123632,36,-85,-11
1747875604.2483633,41,11,1
1747875604.283363,11,-14,-30
1747875604.3183634,88,22,89
1747875604.3533633,138,-39,-58
1747875604.3893633,2,26,-120
1747875604.4253633,-3,-47,-20
1747875604.4603634,-7,-43,-142
1747875604.4963634,-13,-37,1
1747875604.5313632,-34,9,-78
1747875604.566363,67,-92,-110
1747875604.602363,-9,4,103
1747875604.6373634,40,66,131
1747875604.6733634,-49,-41,-86
1747875604.7083633,-12,37,-42
1747875604.7443633,-21,32,-88
1747875604.7793634,82,-25,-2
1747875604.8143632,-59,-7,-24
1747875604.8503633,-11,30,-32
1747875604.885363,20,-59,-20
1747875604.9213634,28,-91,83
1747875604.9563634,56,-89,-78
1747875604.9923637,-79,30,-34
1747875605.0273633,54,32,-72
1747875605.0623634,116,-69,-70
1747875605.0983634,-25,4,71
1747875605.1333632,-9,-27,33
1747875605.1693633,-31,-59,-52
1747875605.204363,24,-9,-144
1747875605.2403634,14,2,-114
1747875605.2753634,11,-20,53
1747875605.3103633,8,25,40
1747875605.3463633,8,-49,18
1747875605.3813634,28,19,48
1747875605.4173634,-54,27,76
1747875605.4523633,-17,-76,-39
1747875605.4883633,-47,11,2
1747875605.5233634,16,-18,11
1747875605.5583634,-37,28,100
1747875605.5943637,15,76,-13
1747875605.6293633,1,28,4
1747875605.6653633,-34,54,-119
1747875605.7003634,74,10,-63
1747875605.7353632,4,-58,-81
1747875605.770363,6,-47,82
1747875605.806363,-71,-99,-38
1747875605.8423634,26,16,35
1747875605.8773634,-47,44,-1
1747875605.9133637,-21,-67,-37
1747875605.9483633,66,8,6
1747875605.9833634,27,6,58
1747875606.0183637,-46,-21,-21
1747875606.0543633,17,0,30
1747875606.0903633,-44,22,42
1747875606.125363,43,24,84
1747875606.1613634,-96,34,-129
1747875606.1963634,13,-61,34
1747875606.2313633,-52,-25,-31
1747875606.2663634,77,-7,-25
