time,x,y,z
1776967200.0019636,1.0,0.0,-22.0
1776967200.0119636,-3.0,0.0,-24.0
1776967200.0219636,-4.0,0.0,-32.0
1776967200.0319636,-2.0,3.0,-33.0
1776967200.0419636,-4.0,0.0,-35.0
1776967200.0519636,-6.0,0.0,-34.0
1776967200.0619636,-6.0,-3.0,-36.0
1776967200.0719635,-1.0,-4.0,-31.0
1776967200.0819635,-2.0,-5.0,-28.0
1776967200.0919635,1.0,-5.0,-29.0
1776967200.1019638,0.0,-9.0,-26.0
1776967200.1119635,0.0,-6.0,-24.0
1776967200.1219635,2.0,-5.0,-25.0
1776967200.1319635,-3.0,-7.0,-25.0
1776967200.1419635,-5.0,-10.0,-32.0
1776967200.1519637,-8.0,-8.0,-38.0
1776967200.1619637,-5.0,-9.0,-38.0
1776967200.1719637,-3.0,-11.0,-30.0
1776967200.1819637,-5.0,-10.0,-25.0
1776967200.1919637,-6.0,-9.0,-24.0
1776967200.2019637,-7.0,-4.0,-28.0
1776967200.2119637,-8.0,-2.0,-23.0
1776967200.2219636,-2.0,0.0,-24.0
1776967200.2319636,0.0,-3.0,-25.0
1776967200.2419636,-4.0,-1.0,-34.0
1776967200.2519636,-1.0,-2.0,-36.0
1776967200.2619636,-2.0,0.0,-33.0
1776967200.2719636,-3.0,0.0,-28.0
1776967200.2819636,0.0,0.0,-25.0
1776967200.2919636,0.0,0.0,-27.0
1776967200.3019636,4.0,2.0,-32.0
1776967200.3119636,10.0,0.0,-27.0
1776967200.3219635,15.0,-1.0,-29.0
1776967200.3319635,14.0,-1.0,-23.0
1776967200.3419635,11.0,0.0,-17.0
1776967200.3519638,5.0,2.0,-15.0
1776967200.3619635,2.0,0.0,-18.0
1776967200.3719635,0.0,0.0,-25.0
1776967200.3819635,-4.0,2.0,-26.0
1776967200.3919635,-3.0,1.0,-28.0
1776967200.4019637,-4.0,-1.0,-26.0
1776967200.4119637,-1.0,-1.0,-27.0
1776967200.4219637,-3.0,-3.0,-27.0
1776967200.4319637,-1.0,-2.0,-29.0
1776967200.4419637,1.0,-4.0,-29.0
1776967200.4519637,0.0,-3.0,-35.0
1776967200.4619637,0.0,-4.0,-36.0
1776967200.4719636,2.0,-4.0,-37.0
1776967200.4819636,4.0,-4.0,-42.0
1776967200.4919636,3.0,-2.0,-51.0
1776967200.5019636,0.0,3.0,-48.0
1776967200.5119636,1.0,0.0,-44.0
1776967200.5219636,0.0,0.0,-39.0
1776967200.5319636,-1.0,-4.0,-34.0
1776967200.5419636,-4.0,-8.0,-31.0
1776967200.5519636,-5.0,-6.0,-29.0
1776967200.5619636,-5.0,-1.0,-26.0
1776967200.5719635,-8.0,-4.0,-16.0
1776967200.5819635,-3.0,-4.0,-20.0
1776967200.5919635,0.0,-3.0,-25.0
1776967200.6019638,0.0,1.0,-24.0
1776967200.6119635,0.0,3.0,-26.0
1776967200.6219635,0.0,0.0,-20.0
1776967200.6319635,-1.0,0.0,-14.0
1776967200.6419635,0.0,-2.0,-17.0
1776967200.6519637,-1.0,-6.0,-20.0
1776967200.6629636,0.0,-8.0,-26.0
1776967200.6729636,-3.0,-6.0,-32.0
1776967200.6819637,0.0,-3.0,-32.0
1776967200.6929636,-1.0,-5.0,-32.0
1776967200.7029636,-2.0,-5.0,-36.0
1776967200.7129636,-3.0,-2.0,-37.0
1776967200.7229636,1.0,-1.0,-35.0
1776967200.7329636,1.0,-1.0,-34.0
1776967200.7429636,1.0,0.0,-29.0
1776967200.7529635,1.0,-1.0,-27.0
1776967200.7629635,0.0,-1.0,-24.0
1776967200.7729638,-1.0,-1.0,-24.0
1776967200.7829638,0.0,-1.0,-30.0
1776967200.7929635,0.0,1.0,-31.0
1776967200.8029635,-5.0,0.0,-28.0
1776967200.8129635,-4.0,-2.0,-24.0
1776967200.8229637,-4.0,0.0,-22.0
1776967200.8329637,-1.0,0.0,-19.0
1776967200.8429637,-1.0,0.0,-19.0
1776967200.8529637,-3.0,-1.0,-23.0
1776967200.8629637,-4.0,-1.0,-27.0
1776967200.8729637,0.0,-2.0,-34.0
1776967200.8829637,-1.0,-4.0,-26.0
1776967200.8929636,-2.0,-3.0,-28.0
1776967200.9029636,0.0,2.0,-29.0
1776967200.9129636,6.0,0.0,-26.0
1776967200.9229636,5.0,0.0,-31.0
1776967200.9329636,4.0,-5.0,-34.0
1776967200.9429636,1.0,-3.0,-30.0
1776967200.9529636,0.0,-2.0,-22.0
1776967200.9629636,-1.0,-3.0,-22.0
1776967200.9729636,-1.0,-3.0,-25.0
1776967200.9829636,0.0,-3.0,-32.0
