time,x,y,z
1753354800.02546,3,-5,-15
1753354800.06346,-1,-3,-15
1753354800.10146,5,-2,-21
1753354800.14046,9,-5,-20
1753354800.17646,7,-1,-22
1753354800.2134602,2,0,-22
1753354800.25146,3,-3,-16
1753354800.29046,-2,0,-22
1753354800.32646,1,0,-18
1753354800.36346,6,-1,-16
1753354800.4014602,5,0,-11
1753354800.4404602,-2,0,-7
1753354800.47646,-8,0,-8
1753354800.5134602,4,-2,-4
1753354800.55146,-1,0,-2
1753354800.59046,-2,0,-11
1753354800.62646,-1,-2,-5
1753354800.66546,-2,0,-5
1753354800.70246,-6,3,-22
1753354800.74146,-10,1,-16
1753354800.77746,-4,1,-15
1753354800.81646,4,0,-7
1753354800.85346,1,-2,-11
1753354800.8914602,0,-2,-5
1753354800.93046,-4,0,-13
1753354800.96646,-5,0,-17
1753354801.00446,-3,4,-13
1753354801.0424602,3,3,-11
1753354801.08146,2,2,-28
1753354801.11746,4,1,-13
1753354801.1544602,-6,0,-18
1753354801.19246,3,-1,-13
1753354801.23146,0,1,-10
1753354801.26746,6,1,-5
1753354801.30446,4,1,-12
1753354801.3424602,2,-3,-10
1753354801.3814602,-2,5,-15
1753354801.4174602,9,4,-13
1753354801.45446,10,-3,-20
1753354801.49246,5,-2,-16
1753354801.53146,7,2,-10
1753354801.56746,11,-1,-13
1753354801.6054602,3,3,-14
1753354801.64346,0,1,-12
1753354801.68246,2,1,-20
1753354801.7204602,0,0,-32
1753354801.7564602,-2,1,-23
1753354801.79446,0,-4,-19
1753354801.83346,3,1,-8
1753354801.8714602,3,0,-1
1753354801.9074602,2,-3,-8
1753354801.94546,0,5,-14
1753354801.9834602,-6,-3,-20
1753354802.02246,-1,-3,-18
1753354802.06046,-2,1,-26
1753354802.09646,2,2,-16
1753354802.13346,1,-1,-16
1753354802.17246,4,-3,-18
1753354802.2104602,-1,1,-20
1753354802.2464602,-1,4,-17
1753354802.28446,-1,-3,-19
1753354802.3224602,2,1,-16
1753354802.3614602,2,-9,-22
1753354802.39746,1,-6,-16
1753354802.43546,0,-2,-12
1753354802.4734602,3,3,-14
1753354802.51246,0,3,-21
1753354802.54846,5,-2,-16
1753354802.58646,0,-6,-28
1753354802.62546,0,0,-19
1753354802.66246,3,-1,-20
1753354802.70146,4,1,-16
1753354802.73746,1,3,-16
1753354802.77546,-4,5,-13
1753354802.8124602,-5,3,-12
1753354802.85146,-8,0,-17
1753354802.88746,-6,-4,-12
1753354802.92546,-3,0,-8
1753354802.9634602,6,0,-26
1753354803.00246,6,-5,-30
1753354803.03846,-1,5,-24
1753354803.07646,-2,2,-17
1753354803.11446,-1,1,-13
1753354803.15346,-3,6,-26
1753354803.19146,1,-4,-27
1753354803.22746,5,0,-23
1753354803.26446,-3,3,-18
1753354803.30346,-5,0,-10
1753354803.34146,-2,2,-8
1753354803.37746,-1,0,-11
1753354803.41546,-1,5,-7
1753354803.45346,-4,-2,-10
1753354803.49246,-4,-4,-22
1753354803.52846,-3,-2,-23
1753354803.56646,2,-5,-13
1753354803.60446,-2,-6,-5
1753354803.64346,-2,-9,-17
1753354803.68146,0,-7,-11
1753354803.7174602,4,-1,-9
1753354803.75446,0,5,-9
1753354803.79346,7,3,-18
1753354803.83146,5,5,-9
1753354803.86746,4,0,-10
1753354803.9044602,11,0,-1
1753354803.94346,0,-2,-16
1753354803.98146,-3,-6,-23
1753354804.01746,4,1,-16
1753354804.06346,4,0,-28
1753354804.10146,1,-1,-29
1753354804.13746,-2,0,-23
1753354804.17546,4,0,-21
1753354804.2134602,6,-1,-7
1753354804.25246,4,4,-15
1753354804.28846,8,-2,-7
1753354804.32646,2,-2,-9
1753354804.36446,-4,0,-19
