time,x,y,z
1760968800.0030508,0,-5,-33
1760968800.0390508,3,-8,-32
1760968800.0770507,1,-7,-37
1760968800.1150508,-3,-2,-34
1760968800.1540508,0,0,-29
1760968800.1920507,5,0,-29
1760968800.2280507,-1,4,-26
1760968800.2660508,-4,4,-33
1760968800.3040507,0,2,-32
1760968800.3420508,4,-1,-29
1760968800.3780508,4,2,-35
1760968800.416051,-2,0,-26
1760968800.4540508,-4,-1,-37
1760968800.4920506,1,2,-32
1760968800.528051,-6,-5,-31
1760968800.5660508,-1,-7,-38
1760968800.6040506,-1,-7,-31
1760968800.643051,3,-6,-26
1760968800.6790507,10,-12,-32
1760968800.7160506,5,-3,-29
1760968800.7540507,2,-4,-37
1760968800.7930508,-3,-1,-44
1760968800.8290508,2,-5,-43
1760968800.8660507,-1,0,-45
1760968800.9040508,-3,-5,-49
1760968800.9430506,0,-14,-33
1760968800.9790506,5,-9,-34
1760968801.0170507,0,-4,-48
1760968801.0550506,1,-8,-44
1760968801.0940506,1,0,-41
1760968801.130051,3,-1,-46
1760968801.1670508,5,-1,-40
1760968801.2050507,1,0,-43
1760968801.2430508,-8,-1,-42
1760968801.2790508,-6,-2,-35
1760968801.3170507,0,2,-40
1760968801.3550508,-3,0,-36
1760968801.3940508,7,6,-41
1760968801.4300506,2,4,-30
1760968801.4670508,4,-6,-26
1760968801.505051,-2,-3,-30
1760968801.5440507,-6,0,-35
1760968801.5800507,-4,-5,-35
1760968801.6180508,-1,2,-39
1760968801.6560507,-1,-2,-42
1760968801.6940508,-4,-2,-42
1760968801.7330508,-3,-3,-38
1760968801.7690508,-2,0,-29
1760968801.8060508,0,0,-37
1760968801.8440506,-2,2,-38
1760968801.880051,-2,-6,-22
1760968801.9180508,0,-2,-39
1760968801.9640508,3,1,-41
1760968802.0000508,5,0,-43
1760968802.0370507,-4,4,-40
1760968802.0760508,-1,6,-40
1760968802.1140506,-2,0,-32
1760968802.1500506,-2,4,-35
1760968802.189051,3,0,-36
1760968802.2260506,-2,-7,-35
1760968802.2650506,0,1,-30
1760968802.3030508,1,0,-38
1760968802.3390508,0,1,-32
1760968802.3760507,-7,0,-27
1760968802.4150507,-2,-4,-24
1760968802.4530506,0,3,-25
1760968802.4890506,4,0,-40
1760968802.5260508,6,-5,-32
1760968802.5650508,-1,-5,-35
1760968802.6030507,4,1,-41
1760968802.6390507,4,4,-42
1760968802.676051,-5,4,-34
1760968802.7150507,-8,-3,-35
1760968802.7530508,-6,1,-47
1760968802.7890508,-5,-5,-46
1760968802.8270507,-1,-2,-35
1760968802.8650508,4,4,-40
1760968802.903051,3,0,-29
1760968802.939051,-5,0,-36
1760968802.9760506,-2,2,-29
1760968803.0150506,4,4,-39
1760968803.051051,-3,-3,-34
1760968803.0890508,-1,-2,-24
1760968803.1270506,2,2,-26
1760968803.1650507,5,0,-27
1760968803.2010508,3,-1,-34
1760968803.2390506,-2,0,-26
1760968803.2770507,0,1,-41
1760968803.3150508,-1,7,-48
1760968803.3510506,0,5,-38
1760968803.3880508,-4,-4,-41
1760968803.426051,4,-1,-33
1760968803.4650507,3,1,-35
1760968803.5010507,4,0,-46
1760968803.538051,0,0,-46
1760968803.5760508,-4,0,-33
1760968803.6150508,4,1,-28
1760968803.6510508,2,0,-31
1760968803.6880507,0,6,-36
1760968803.7250507,-1,-3,-42
1760968803.7640507,-2,0,-24
1760968803.8000507,1,0,-34
1760968803.8380508,-4,-1,-49
1760968803.8760507,-2,-2,-30
1760968803.9140508,1,-1,-34
1760968803.9500508,0,0,-38
1760968803.9870508,5,-1,-35
1760968804.0260508,-7,3,-34
1760968804.064051,-5,3,-33
1760968804.1000507,-7,-1,-31
1760968804.1380508,-6,-2,-30
1760968804.176051,-4,-4,-37
1760968804.2150507,-3,-3,-43
1760968804.2510507,-2,-7,-29
1760968804.2890508,5,-6,-30
1760968804.3270507,8,-8,-28
1760968804.3660507,0,-4,-31
1760968804.4040508,-2,3,-41
1760968804.4400508,6,0,-36
1760968804.4770508,2,3,-41
1760968804.5160508,-2,-2,-37
1760968804.5540507,2,-5,-25
1760968804.5900507,-2,-2,-31
1760968804.6280508,4,-4,-36
1760968804.666051,4,-4,-29
1760968804.7050507,-2,-6,-41
1760968804.7410507,1,-1,-32
1760968804.778051,2,5,-34
1760968804.8160508,0,3,-30
1760968804.8540506,0,1,-30
1760968804.8900506,0,8,-38
1760968804.9270508,-9,8,-36
1760968804.9660506,-6,1,-34
1760968805.0020506,-3,0,-39
1760968805.0390508,-6,-1,-45
1760968805.0780506,-1,4,-34
1760968805.1160507,-3,0,-27
1760968805.1520507,0,0,-32
1760968805.1900508,-3,0,-39
1760968805.2280507,0,-3,-48
1760968805.2660508,-5,0,-36
1760968805.3050506,0,0,-34
1760968805.3410506,1,4,-26
1760968805.3780508,10,-3,-27
1760968805.416051,-2,0,-36
1760968805.4550507,2,-3,-35
1760968805.4910507,-6,-1,-36
1760968805.5290508,-9,-4,-34
1760968805.5670507,-2,-5,-35
1760968805.6060507,-3,0,-33
1760968805.6420507,-7,3,-35
1760968805.6790507,-7,-1,-35
1760968805.7170508,-2,3,-40
1760968805.7560508,-1,2,-32
1760968805.7920508,-2,0,-31
1760968805.8290508,2,0,-35
1760968805.8670506,2,-3,-40
1760968805.9050508,-7,-2,-28
1760968805.9410508,-4,-2,-40
1760968805.9790506,-4,1,-23
1760968806.0170507,-2,0,-26
1760968806.0560508,-4,1,-28
1760968806.0920508,0,-5,-42
1760968806.1290507,0,-3,-39
1760968806.1670508,-4,1,-26
1760968806.2060506,4,-1,-31
1760968806.2420506,2,1,-38
1760968806.2790508,4,-1,-30
1760968806.3170507,-1,6,-38
1760968806.3560507,-3,0,-38
1760968806.3920507,0,-5,-40
1760968806.4290507,-2,-2,-36
1760968806.4670508,0,-4,-38
1760968806.5060508,1,3,-42
1760968806.5420508,0,0,-44
1760968806.5790508,8,-3,-28
1760968806.6180508,-5,3,-28
1760968806.6560507,-1,0,-31
1760968806.6920507,-3,0,-34
1760968806.7300508,1,-4,-36
1760968806.768051,8,-4,-49
1760968806.8070507,5,-4,-39
1760968806.8430507,-3,-1,-43
1760968806.8810508,-9,0,-38
1760968806.9190507,-7,0,-47
1760968806.9570508,-6,2,-40
1760968806.9960508,-1,5,-43
1760968807.0320508,-2,-1,-34
1760968807.0700507,-11,-9,-38
1760968807.1080508,-4,0,-38
1760968807.1470506,-15,-1,-28
1760968807.1830506,-1,-5,-31
1760968807.2210507,10,1,-33
1760968807.258051,5,-1,-40
1760968807.2970507,2,1,-37
1760968807.3330507,0,3,-40
1760968807.370051,1,-1,-20
1760968807.4080508,0,-1,-40
1760968807.4470508,0,0,-45
1760968807.4830508,-1,1,-40
1760968807.5210507,-6,-7,-34
1760968807.5590508,-7,-3,-41
1760968807.597051,-3,6,-33
1760968807.6360507,-2,1,-32
1760968807.6720507,-3,3,-34
1760968807.709051,6,3,-31
1760968807.7480507,-1,-4,-30
1760968807.7860508,-1,0,-34
1760968807.8220508,0,1,-45
1760968807.8590508,1,-4,-38
1760968807.8980508,-3,3,-45
1760968807.936051,-4,2,-53
1760968807.972051,-5,-2,-40
1760968808.0100508,-2,-5,-41
1760968808.0480506,2,4,-37
1760968808.0860507,-9,6,-35
1760968808.1220508,-8,8,-22
1760968808.1590507,-5,0,-28
1760968808.1980507,0,-1,-31
1760968808.2360508,-3,0,-37
1760968808.2720506,0,-5,-27
1760968808.3090508,-1,-3,-28
1760968808.3480508,-1,-3,-34
1760968808.3860507,0,1,-27
1760968808.4220507,-3,-2,-27
1760968808.4610507,0,-5,-35
1760968808.4980507,-14,-2,-41
1760968808.5370507,-3,-2,-40
1760968808.5730507,-4,7,-37
1760968808.6110508,-2,10,-42
1760968808.6480508,-9,-3,-36
1760968808.6870508,-5,0,-29
1760968808.7230508,0,-3,-36
1760968808.7600508,-4,-5,-38
1760968808.7980506,-2,-3,-35
1760968808.837051,-2,1,-33
1760968808.8730507,-4,2,-44
1760968808.9110508,0,2,-36
1760968808.9480507,-2,0,-32
1760968808.9870508,0,11,-31
1760968809.0230508,2,-2,-34
1760968809.0600507,7,-8,-38
1760968809.0980508,4,-5,-38
1760968809.1370506,0,-5,-14
1760968809.1730506,7,1,-35
1760968809.2100508,1,9,-35
1760968809.2480507,-6,-1,-31
1760968809.2870507,0,0,-39
1760968809.3230507,-1,-2,-41
1760968809.3610508,-1,6,-37
1760968809.3990507,0,-4,-29
1760968809.4380507,2,-2,-42
1760968809.4740508,-1,0,-34
1760968809.5120506,3,-1,-27
1760968809.551051,9,-4,-26
1760968809.5880508,4,2,-28
1760968809.6240506,0,1,-33
1760968809.6620507,-1,2,-34
1760968809.7000508,-3,0,-38
1760968809.7390506,2,3,-28
1760968809.7770507,3,-4,-33
1760968809.8130507,8,1,-32
1760968809.8510506,5,0,-34
1760968809.8890507,5,1,-30
1760968809.9270508,0,-1,-41
1760968809.9630508,1,1,-40
1760968810.0000508,-2,0,-42
1760968810.0390508,-2,-6,-30
1760968810.0770507,-2,-2,-32
1760968810.1130507,5,-4,-27
1760968810.1510508,5,-3,-34
1760968810.189051,4,0,-20
1760968810.2270508,-3,-1,-27
1760968810.2630508,2,5,-32
1760968810.3000507,-1,5,-44
1760968810.3390508,0,0,-46
1760968810.3770506,0,0,-41
1760968810.413051,7,-2,-42
1760968810.4510508,6,1,-38
1760968810.4890506,0,-2,-27
1760968810.5270507,-9,0,-32
1760968810.5630507,-12,-2,-30
1760968810.6010506,-3,-1,-43
1760968810.6390507,-3,1,-33
1760968810.6780508,0,-7,-25
1760968810.7140508,-3,-1,-29
1760968810.7520506,-2,-2,-31
1760968810.7900507,0,-3,-37
1760968810.8290508,2,-1,-44
1760968810.8650508,2,-2,-48
1760968810.9020507,3,0,-31
1760968810.939051,3,0,-35
1760968810.9750507,0,1,-29
1760968811.0130508,0,-8,-33
1760968811.051051,2,-5,-35
1760968811.0890508,-1,0,-42
1760968811.1280508,6,1,-42
1760968811.1640508,3,0,-39
1760968811.2020507,-6,-4,-36
1760968811.2400508,5,-5,-44
1760968811.2790508,-1,-10,-39
1760968811.3150508,-3,-5,-39
1760968811.3530507,4,-4,-26
1760968811.3920507,0,-9,-38
1760968811.4290507,6,-8,-32
1760968811.4680507,9,-10,-36
1760968811.5040507,7,3,-36
1760968811.541051,-3,0,-38
1760968811.5790508,1,2,-38
1760968811.6150508,-3,2,-47
